gene,gene_ID_robin,cluster
GQ602_001393,Ophcf2|01393,1
GQ602_001397,Ophcf2|01397,2
GQ602_001398,Ophcf2|01398,1
GQ602_001420,Ophcf2|01420,2
GQ602_001430,Ophcf2|01430,2
GQ602_001444,Ophcf2|01444,1
GQ602_001447,Ophcf2|01447,1
GQ602_001448,Ophcf2|01448,3
GQ602_001451,Ophcf2|01451,3
GQ602_001454,Ophcf2|01454,1
GQ602_001455,Ophcf2|01455,3
GQ602_001456,Ophcf2|01456,4
GQ602_001459,Ophcf2|01459,1
GQ602_001460,Ophcf2|01460,3
GQ602_001463,Ophcf2|01463,4
GQ602_001464,Ophcf2|01464,2
GQ602_001465,Ophcf2|01465,4
GQ602_001471,Ophcf2|01471,3
GQ602_001472,Ophcf2|01472,3
GQ602_001473,Ophcf2|01473,2
GQ602_001476,Ophcf2|01476,2
GQ602_001479,Ophcf2|01479,4
GQ602_001480,Ophcf2|01480,4
GQ602_001481,Ophcf2|01481,4
GQ602_001484,Ophcf2|01484,3
GQ602_001489,Ophcf2|01489,1
GQ602_001493,Ophcf2|01493,1
GQ602_001496,Ophcf2|01496,2
GQ602_001499,Ophcf2|01499,3
GQ602_001501,Ophcf2|01501,2
GQ602_001508,Ophcf2|01508,4
GQ602_001511,Ophcf2|01511,2
GQ602_001513,Ophcf2|01513,1
GQ602_001517,Ophcf2|01517,3
GQ602_001520,Ophcf2|01520,1
GQ602_001522,Ophcf2|01522,3
GQ602_001528,Ophcf2|01528,3
GQ602_001530,Ophcf2|01530,4
GQ602_001531,Ophcf2|01531,3
GQ602_001535,Ophcf2|01535,1
GQ602_001540,Ophcf2|01540,3
GQ602_001541,Ophcf2|01541,2
GQ602_001554,Ophcf2|01554,2
GQ602_001558,Ophcf2|01558,2
GQ602_001561,Ophcf2|01561,1
GQ602_001565,Ophcf2|01565,3
GQ602_001571,Ophcf2|01571,1
GQ602_001572,Ophcf2|01572,1
GQ602_001574,Ophcf2|01574,1
GQ602_001577,Ophcf2|01577,4
GQ602_001581,Ophcf2|01581,4
GQ602_001582,Ophcf2|01582,4
GQ602_001585,Ophcf2|01585,1
GQ602_001586,Ophcf2|01586,1
GQ602_001587,Ophcf2|01587,1
GQ602_001588,Ophcf2|01588,3
GQ602_001589,Ophcf2|01589,1
GQ602_001590,Ophcf2|01590,2
GQ602_001593,Ophcf2|01593,1
GQ602_001594,Ophcf2|01594,4
GQ602_001599,Ophcf2|01599,3
GQ602_001608,Ophcf2|01608,1
GQ602_001613,Ophcf2|01613,4
GQ602_001615,Ophcf2|01615,3
GQ602_001616,Ophcf2|01616,3
GQ602_001617,Ophcf2|01617,4
GQ602_001618,Ophcf2|01618,3
GQ602_001620,Ophcf2|01620,1
GQ602_001622,Ophcf2|01622,4
GQ602_001625,Ophcf2|01625,2
GQ602_001628,Ophcf2|01628,3
GQ602_001630,Ophcf2|01630,2
GQ602_001631,Ophcf2|01631,4
GQ602_001636,Ophcf2|01636,1
GQ602_001640,Ophcf2|01640,3
GQ602_001642,Ophcf2|01642,2
GQ602_001644,Ophcf2|01644,3
GQ602_001647,Ophcf2|01647,1
GQ602_001649,Ophcf2|01649,2
GQ602_001653,Ophcf2|01653,4
GQ602_001658,Ophcf2|01658,2
GQ602_001661,Ophcf2|01661,3
GQ602_001663,Ophcf2|01663,2
GQ602_001664,Ophcf2|01664,2
GQ602_001669,Ophcf2|01669,2
GQ602_001676,Ophcf2|01676,1
GQ602_001677,Ophcf2|01677,4
GQ602_001681,Ophcf2|01681,4
GQ602_001684,Ophcf2|01684,1
GQ602_001689,Ophcf2|01689,3
GQ602_001690,Ophcf2|01690,4
GQ602_001693,Ophcf2|01693,2
GQ602_001694,Ophcf2|01694,2
GQ602_001696,Ophcf2|01696,4
GQ602_001699,Ophcf2|01699,2
GQ602_001701,Ophcf2|01701,4
GQ602_001706,Ophcf2|01706,4
GQ602_001707,Ophcf2|01707,1
GQ602_001709,Ophcf2|01709,1
GQ602_001710,Ophcf2|01710,4
GQ602_001713,Ophcf2|01713,1
GQ602_001717,Ophcf2|01717,2
GQ602_001719,Ophcf2|01719,2
GQ602_001728,Ophcf2|01728,2
GQ602_001729,Ophcf2|01729,2
GQ602_001732,Ophcf2|01732,1
GQ602_001733,Ophcf2|01733,1
GQ602_001737,Ophcf2|01737,3
GQ602_001738,Ophcf2|01738,1
GQ602_001741,Ophcf2|01741,4
GQ602_001742,Ophcf2|01742,4
GQ602_001744,Ophcf2|01744,1
GQ602_001748,Ophcf2|01748,1
GQ602_001749,Ophcf2|01749,1
GQ602_001750,Ophcf2|01750,1
GQ602_001753,Ophcf2|01753,1
GQ602_001755,Ophcf2|01755,4
GQ602_001756,Ophcf2|01756,1
GQ602_001764,Ophcf2|01764,4
GQ602_001773,Ophcf2|01773,1
GQ602_001775,Ophcf2|01775,1
GQ602_001776,Ophcf2|01776,4
GQ602_001777,Ophcf2|01777,4
GQ602_001778,Ophcf2|01778,1
GQ602_001779,Ophcf2|01779,3
GQ602_001785,Ophcf2|01785,1
GQ602_001787,Ophcf2|01787,4
GQ602_001788,Ophcf2|01788,1
GQ602_001789,Ophcf2|01789,4
GQ602_001790,Ophcf2|01790,1
GQ602_001797,Ophcf2|01797,4
GQ602_001798,Ophcf2|01798,1
GQ602_001800,Ophcf2|01800,3
GQ602_001801,Ophcf2|01801,3
GQ602_001804,Ophcf2|01804,2
GQ602_001805,Ophcf2|01805,3
GQ602_001806,Ophcf2|01806,1
GQ602_001808,Ophcf2|01808,4
GQ602_001809,Ophcf2|01809,4
GQ602_001810,Ophcf2|01810,2
GQ602_001815,Ophcf2|01815,2
GQ602_001817,Ophcf2|01817,4
GQ602_001818,Ophcf2|01818,4
GQ602_001821,Ophcf2|01821,4
GQ602_001825,Ophcf2|01825,1
GQ602_001827,Ophcf2|01827,1
GQ602_001828,Ophcf2|01828,1
GQ602_001829,Ophcf2|01829,3
GQ602_001830,Ophcf2|01830,4
GQ602_001837,Ophcf2|01837,2
GQ602_001838,Ophcf2|01838,1
GQ602_001839,Ophcf2|01839,2
GQ602_001841,Ophcf2|01841,1
GQ602_001843,Ophcf2|01843,4
GQ602_001845,Ophcf2|01845,3
GQ602_001849,Ophcf2|01849,1
GQ602_001855,Ophcf2|01855,4
GQ602_001856,Ophcf2|01856,1
GQ602_001857,Ophcf2|01857,3
GQ602_001858,Ophcf2|01858,3
GQ602_001859,Ophcf2|01859,4
GQ602_001861,Ophcf2|01861,2
GQ602_001865,Ophcf2|01865,4
GQ602_001868,Ophcf2|01868,4
GQ602_001878,Ophcf2|01878,1
GQ602_001885,Ophcf2|01885,3
GQ602_001886,Ophcf2|01886,4
GQ602_001887,Ophcf2|01887,4
GQ602_001889,Ophcf2|01889,3
GQ602_001891,Ophcf2|01891,2
GQ602_001892,Ophcf2|01892,1
GQ602_001894,Ophcf2|01894,1
GQ602_001895,Ophcf2|01895,4
GQ602_001899,Ophcf2|01899,2
GQ602_001902,Ophcf2|01902,1
GQ602_001903,Ophcf2|01903,1
GQ602_001913,Ophcf2|01913,1
GQ602_001915,Ophcf2|01915,1
GQ602_001916,Ophcf2|01916,1
GQ602_001918,Ophcf2|01918,4
GQ602_001919,Ophcf2|01919,4
GQ602_001921,Ophcf2|01921,4
GQ602_001925,Ophcf2|01925,2
GQ602_001930,Ophcf2|01930,2
GQ602_001931,Ophcf2|01931,1
GQ602_001932,Ophcf2|01932,1
GQ602_001934,Ophcf2|01934,2
GQ602_001941,Ophcf2|01941,4
GQ602_001942,Ophcf2|01942,3
GQ602_001943,Ophcf2|01943,3
GQ602_001948,Ophcf2|01948,1
GQ602_001951,Ophcf2|01951,1
GQ602_001954,Ophcf2|01954,2
GQ602_001961,Ophcf2|01961,3
GQ602_001964,Ophcf2|01964,1
GQ602_001969,Ophcf2|01969,2
GQ602_001970,Ophcf2|01970,2
GQ602_001976,Ophcf2|01976,1
GQ602_001978,Ophcf2|01978,3
GQ602_001983,Ophcf2|01983,4
GQ602_001988,Ophcf2|01988,3
GQ602_001992,Ophcf2|01992,4
GQ602_001993,Ophcf2|01993,4
