"gene_name","module_identity","GCN"
"BBA_01901","brown","beau"
"BBA_01902","brown","beau"
"BBA_01903","brown","beau"
"BBA_01904","brown","beau"
"BBA_01908","brown","beau"
"BBA_01909","brown","beau"
"BBA_01912","brown","beau"
"BBA_01913","brown","beau"
"BBA_01918","brown","beau"
"BBA_01921","brown","beau"
"BBA_01922","brown","beau"
"BBA_01923","brown","beau"
"BBA_01925","brown","beau"
"BBA_01926","brown","beau"
"BBA_01927","brown","beau"
"BBA_01928","brown","beau"
"BBA_01929","brown","beau"
"BBA_01932","brown","beau"
"BBA_01936","brown","beau"
"BBA_01937","brown","beau"
"BBA_01938","brown","beau"
"BBA_01941","brown","beau"
"BBA_01942","brown","beau"
"BBA_01944","brown","beau"
"BBA_01945","brown","beau"
"BBA_01946","brown","beau"
"BBA_01953","brown","beau"
"BBA_01956","brown","beau"
"BBA_01958","brown","beau"
"BBA_01964","brown","beau"
"BBA_01965","brown","beau"
"BBA_01969","brown","beau"
"BBA_01972","brown","beau"
"BBA_01974","brown","beau"
"BBA_01978","brown","beau"
"BBA_01980","brown","beau"
"BBA_01981","brown","beau"
"BBA_01988","brown","beau"
"BBA_01989","brown","beau"
"BBA_01991","brown","beau"
"BBA_01995","brown","beau"
"BBA_01997","brown","beau"
"BBA_02003","brown","beau"
"BBA_02007","brown","beau"
"BBA_02010","brown","beau"
"BBA_02016","brown","beau"
"BBA_02025","brown","beau"
"BBA_02026","brown","beau"
"BBA_02029","brown","beau"
"BBA_02036","brown","beau"
"BBA_02037","brown","beau"
"BBA_02041","brown","beau"
"BBA_02045","brown","beau"
"BBA_02049","brown","beau"
"BBA_02050","brown","beau"
"BBA_02053","brown","beau"
"BBA_02054","brown","beau"
"BBA_02059","brown","beau"
"BBA_02060","brown","beau"
"BBA_02064","brown","beau"
"BBA_02065","brown","beau"
"BBA_02070","brown","beau"
"BBA_02071","brown","beau"
"BBA_02072","brown","beau"
"BBA_02073","brown","beau"
"BBA_02074","brown","beau"
"BBA_02077","brown","beau"
"BBA_02078","brown","beau"
"BBA_02081","brown","beau"
"BBA_02087","brown","beau"
"BBA_02100","brown","beau"
"BBA_02108","brown","beau"
"BBA_02109","brown","beau"
"BBA_02111","brown","beau"
"BBA_02114","brown","beau"
"BBA_02115","brown","beau"
"BBA_02116","brown","beau"
"BBA_02117","brown","beau"
"BBA_02119","brown","beau"
"BBA_02123","brown","beau"
"BBA_02125","brown","beau"
"BBA_02126","brown","beau"
"BBA_02130","brown","beau"
"BBA_02132","brown","beau"
"BBA_02133","brown","beau"
"BBA_02134","brown","beau"
"BBA_02140","brown","beau"
"BBA_02141","brown","beau"
"BBA_02144","brown","beau"
"BBA_02145","brown","beau"
"BBA_02148","brown","beau"
"BBA_02149","brown","beau"
"BBA_02150","brown","beau"
"BBA_02153","brown","beau"
"BBA_02154","brown","beau"
"BBA_02157","brown","beau"
"BBA_02158","brown","beau"
"BBA_02159","brown","beau"
"BBA_02160","brown","beau"
"BBA_02163","brown","beau"
"BBA_02165","brown","beau"
"BBA_02173","brown","beau"
"BBA_02174","brown","beau"
"BBA_02175","brown","beau"
"BBA_02176","brown","beau"
"BBA_02177","brown","beau"
"BBA_02178","brown","beau"
"BBA_02182","brown","beau"
"BBA_02183","brown","beau"
"BBA_02188","brown","beau"
"BBA_02189","brown","beau"
"BBA_02190","brown","beau"
"BBA_02191","brown","beau"
"BBA_02192","brown","beau"
"BBA_02193","brown","beau"
"BBA_02196","brown","beau"
"BBA_02198","brown","beau"
"BBA_02199","brown","beau"
"BBA_02200","brown","beau"
"BBA_02201","brown","beau"
"BBA_02202","brown","beau"
"BBA_02203","brown","beau"
"BBA_02205","brown","beau"
"BBA_02216","brown","beau"
"BBA_02217","brown","beau"
"BBA_02218","brown","beau"
"BBA_02221","brown","beau"
"BBA_02222","brown","beau"
"BBA_02224","brown","beau"
"BBA_02226","brown","beau"
"BBA_02229","brown","beau"
"BBA_02230","brown","beau"
"BBA_02231","brown","beau"
"BBA_02235","brown","beau"
"BBA_02238","brown","beau"
"BBA_02241","brown","beau"
