"gene_name","module_identity","GCN"
"GQ602_003097","brown","ophio_cflo"
"GQ602_003106","brown","ophio_cflo"
"GQ602_003122","brown","ophio_cflo"
"GQ602_003126","brown","ophio_cflo"
"GQ602_003129","brown","ophio_cflo"
"GQ602_003152","brown","ophio_cflo"
"GQ602_003157","brown","ophio_cflo"
"GQ602_003159","brown","ophio_cflo"
"GQ602_003168","brown","ophio_cflo"
"GQ602_003177","brown","ophio_cflo"
"GQ602_003179","brown","ophio_cflo"
"GQ602_003180","brown","ophio_cflo"
"GQ602_003182","brown","ophio_cflo"
"GQ602_003185","brown","ophio_cflo"
"GQ602_003186","brown","ophio_cflo"
"GQ602_003192","brown","ophio_cflo"
"GQ602_003195","brown","ophio_cflo"
"GQ602_003199","brown","ophio_cflo"
"GQ602_003201","brown","ophio_cflo"
"GQ602_003216","brown","ophio_cflo"
"GQ602_003226","brown","ophio_cflo"
"GQ602_003238","brown","ophio_cflo"
"GQ602_003249","brown","ophio_cflo"
"GQ602_003252","brown","ophio_cflo"
"GQ602_003253","brown","ophio_cflo"
"GQ602_003259","brown","ophio_cflo"
"GQ602_003261","brown","ophio_cflo"
"GQ602_003273","brown","ophio_cflo"
"GQ602_003291","brown","ophio_cflo"
"GQ602_003292","brown","ophio_cflo"
"GQ602_003295","brown","ophio_cflo"
"GQ602_003310","brown","ophio_cflo"
"GQ602_003311","brown","ophio_cflo"
"GQ602_003314","brown","ophio_cflo"
"GQ602_003315","brown","ophio_cflo"
"GQ602_003318","brown","ophio_cflo"
"GQ602_003336","brown","ophio_cflo"
"GQ602_003342","brown","ophio_cflo"
"GQ602_003346","brown","ophio_cflo"
"GQ602_003371","brown","ophio_cflo"
"GQ602_003384","brown","ophio_cflo"
"GQ602_003385","brown","ophio_cflo"
"GQ602_003389","brown","ophio_cflo"
"GQ602_003390","brown","ophio_cflo"
"GQ602_003399","brown","ophio_cflo"
"GQ602_003403","brown","ophio_cflo"
"GQ602_003404","brown","ophio_cflo"
"GQ602_003411","brown","ophio_cflo"
"GQ602_003423","brown","ophio_cflo"
"GQ602_003434","brown","ophio_cflo"
"GQ602_003435","brown","ophio_cflo"
"GQ602_003441","brown","ophio_cflo"
"GQ602_003443","brown","ophio_cflo"
"GQ602_003456","brown","ophio_cflo"
"GQ602_003458","brown","ophio_cflo"
"GQ602_003461","brown","ophio_cflo"
"GQ602_003517","brown","ophio_cflo"
"GQ602_003520","brown","ophio_cflo"
"GQ602_003525","brown","ophio_cflo"
"GQ602_003533","brown","ophio_cflo"
"GQ602_003534","brown","ophio_cflo"
"GQ602_003536","brown","ophio_cflo"
"GQ602_003537","brown","ophio_cflo"
"GQ602_003539","brown","ophio_cflo"
"GQ602_003547","brown","ophio_cflo"
"GQ602_003551","brown","ophio_cflo"
"GQ602_003561","brown","ophio_cflo"
"GQ602_003564","brown","ophio_cflo"
"GQ602_003577","brown","ophio_cflo"
"GQ602_003591","brown","ophio_cflo"
"GQ602_003592","brown","ophio_cflo"
"GQ602_003593","brown","ophio_cflo"
"GQ602_003595","brown","ophio_cflo"
"GQ602_003603","brown","ophio_cflo"
"GQ602_003604","brown","ophio_cflo"
"GQ602_003606","brown","ophio_cflo"
"GQ602_003629","brown","ophio_cflo"
"GQ602_003630","brown","ophio_cflo"
"GQ602_003638","brown","ophio_cflo"
"GQ602_003666","brown","ophio_cflo"
"GQ602_003669","brown","ophio_cflo"
"GQ602_003671","brown","ophio_cflo"
"GQ602_003677","brown","ophio_cflo"
"GQ602_003679","brown","ophio_cflo"
"GQ602_003684","brown","ophio_cflo"
"GQ602_003685","brown","ophio_cflo"
"GQ602_003688","brown","ophio_cflo"
"GQ602_003690","brown","ophio_cflo"
"GQ602_003697","brown","ophio_cflo"
"GQ602_003706","brown","ophio_cflo"
"GQ602_003709","brown","ophio_cflo"
"GQ602_003711","brown","ophio_cflo"
"GQ602_003716","brown","ophio_cflo"
"GQ602_003718","brown","ophio_cflo"
"GQ602_003720","brown","ophio_cflo"
"GQ602_003731","brown","ophio_cflo"
