gene_ID_ncbi,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24
BBA_02770,2.59192,2.05567,2.19506,1.20753,3.45078,2.2334,1.23049,1.34372,2.6928,2.55974,1.92564,2.28071
BBA_02771,1.86737,2.99762,3.42527,2.55514,4.67356,3.80014,4.52608,5.61435,4.4906,3.65984,3.10541,5.00567
BBA_02772,6.09812,16.0338,5.94348,12.3203,16.7915,36.1589,12.0334,19.3458,13.4213,20.6243,24.2394,23.686
BBA_02773,59.2071,54.3543,46.9637,88.5829,92.8013,74.8283,82.0936,72.471,67.9912,62.0731,47.9632,48.5899
BBA_02774,16.1068,17.4891,15.953,20.5512,26.1205,27.437,21.665,22.8003,21.7808,19.6373,18.009,21.1632
BBA_02775,2.80786,1.88659,2.3103,2.10167,2.61161,2.31193,2.75958,1.4575,1.17275,2.43185,2.87949,3.00421
BBA_02776,1.31674,2.20824,1.84645,1.15395,2.79429,2.44252,0.675476,1.2917,1.11577,1.91584,1.2808,1.92468
BBA_02777,9.47622,12.2524,12.6835,14.6276,16.7098,10.7945,10.6739,10.6051,10.6547,8.11247,8.6036,8.58168
BBA_02778,30.389,28.1114,29.4945,32.2505,38.8913,34.256,28.7774,25.057,27.3106,22.065,20.1097,23.7197
BBA_02779,790.71,842.836,772.341,1194.64,1399.45,960.32,915.05,800.111,686.185,666.305,673.851,638.698
BBA_02780,212.879,202.082,190.737,179.286,188.158,211.168,175.582,214.671,183.683,194.515,198.972,214.232
BBA_02781,13.4907,13.3892,10.9185,10.6481,11.7837,13.1019,13.948,10.8473,13.1706,11.6562,14.6515,16.462
BBA_02782,1.24471,0.686905,1.4291,0.933709,1.39862,0.710846,0.890059,1.14,1.12987,1.82327,2.04017,2.96283
BBA_02783,0,0,0,0,0.62441,0,0,0,0.771333,0,0,0
BBA_02784,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02785,3.36611,1.17868,1.20327,2.49857,2.86718,3.17192,1.12578,3.06341,2.16366,1.89787,2.26699,1.3118
BBA_02786,17.337,18.3611,18.8529,20.2626,22.3838,21.994,26.3276,24.1386,21.8017,20.6283,21.4705,22.0694
BBA_02787,203.613,241.675,257.288,244.957,191.094,322.866,215.722,243.927,203.151,208.283,229.714,262.074
BBA_02788,11.3638,14.42,15.3235,16.0366,19.3892,22.8145,14.4165,11.4005,11.5733,14.133,14.6023,14.0035
BBA_02789,8.80955,8.3752,12.2376,7.62573,22.6558,11.9273,12.5704,12.7271,8.84429,14.0449,21.2184,24.9293
BBA_02790,61.192,52.0594,52.6448,49.6378,65.0437,36.4353,61.0869,56.7079,48.1718,57.4643,54.0499,61.7768
BBA_02791,32.4411,30.7499,32.6278,26.7704,33.7278,26.5123,32.8857,29.4595,40.5379,34.4194,34.9315,42.3156
BBA_02792,21.3015,31.8595,24.4673,71.1658,41.242,50.0877,44.7787,33.2726,38.5476,27.79,23.2054,24.3682
BBA_02793,0.274414,0.126793,0.0893544,0.105198,0.0338269,0.1354,0.128939,0.121962,0.16049,0.0683234,0.213773,0.101485
BBA_02794,128.856,126.997,129.497,141.024,135.415,142.262,138.884,133.984,134.033,145.801,134.565,139.15
BBA_02795,19.5415,28.2774,33.1574,21.859,31.1477,32.7077,29.0366,31.7215,26.6674,27.5555,44.1885,46.0516
BBA_02796,13.0467,12.8749,14.2343,15.3798,19.0881,21.7791,14.8834,16.6087,9.14321,12.744,14.028,15.9018
BBA_02797,24.4005,24.1038,26.442,33.0036,42.8555,41.5096,31.1765,29.0454,20.8104,22.674,20.9201,22.9137
BBA_02798,14.4789,15.8262,12.5398,21.6996,38.3269,32.0852,15.7106,13.5025,15.109,16.7538,21.4504,26.8189
BBA_02799,7.38449,7.60943,11.9709,10.9319,8.85109,4.14049,8.99038,9.79345,8.51834,9.82939,6.41368,8.76763
BBA_02800,7.21318,4.11227,6.22846,10.7297,4.95274,16.82,10.5288,10.7223,8.82589,6.78771,2.10667,5.63619
BBA_02801,27.6608,27.2155,29.9152,20.0891,28.0007,27.833,32.4471,30.5445,30.722,34.3287,35.4788,38.0455
BBA_02802,18.7717,26.5789,26.6667,17.149,24.7947,26.8878,23.831,23.8215,27.489,25.9891,28.3516,25.0108
BBA_02803,41.7842,52.4372,61.8955,72.2548,68.1637,80.9125,66.7417,73.6086,68.8201,75.6194,92.8993,87.3476
BBA_02804,49.8781,44.8331,34.047,52.0308,39.2827,51.7095,53.455,41.6357,37.5973,35.9159,28.9851,24.511
BBA_02805,33.3185,30.2332,32.0012,26.8217,29.8671,36.0842,31.9479,33.1293,32.2354,32.9353,34.8699,36.6822
BBA_02806,88.788,115.957,117.62,113.741,118.783,108.717,99.6022,124.223,115.058,119.975,120.514,113.815
BBA_02807,28.7678,30.7758,31.5287,26.9526,31.9283,30.1041,34.2351,29.461,28.1099,29.1157,35.069,32.7362
BBA_02808,130.119,109.662,114.334,85.505,66.7632,108.273,101.828,116.118,92.8904,95.3666,100.598,72.0165
BBA_02809,208.21,181.589,177.806,181.236,105.305,169.137,147.714,164.312,132.658,158.329,150.258,87.9194
BBA_02810,35.9813,31.8579,24.1572,38.6416,26.0871,28.1615,27.7633,29.8541,28.388,20.6466,17.7286,17.6012
BBA_02811,1.98015,2.41285,2.54242,1.46517,2.01241,2.56299,0.766691,0.745267,1.62379,0.852748,0.879524,0.968373
BBA_02812,33.3404,27.8597,24.0183,29.2392,24.8699,27.4926,24.6486,20.3196,20.8317,22.5126,19.5751,20.7147
BBA_02813,155.563,147.123,158.629,96.94,265.844,140.798,221.961,225.367,219.575,249.954,268.169,323.853
BBA_02814,15.1305,17.0568,17.8427,14.129,21.7457,25.6078,18.4951,18.3374,19.2668,20.1223,21.0966,19.398
BBA_02815,12.4055,7.92336,9.93661,6.81714,10.1435,14.7003,12.061,13.4052,10.8431,15.5878,18.3631,15.8095
BBA_02816,8.84776,9.63896,10.0717,7.76676,7.25581,8.74744,10.0384,10.2235,8.44008,12.046,9.23557,9.88205
BBA_02817,54.4098,52.0572,57.0705,45.5528,52.4828,51.8969,73.0549,67.4964,59.2637,87.6854,80.473,87.4294
BBA_02818,3.07612,2.98604,2.45121,2.8183,4.64361,3.40077,3.32743,4.13081,5.30542,5.28154,5.86893,5.1958
BBA_02819,0,0,0,0.966161,0,0.872899,0,0,0,0,0,0
BBA_02820,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02821,0,0.232123,0.106936,0.638838,0.228992,0.11752,0,0,0.568647,0.233101,0.121491,0.116385
BBA_02822,1.13937,2.97495,1.69186,3.5958,1.87788,1.20173,0.896985,2.28617,1.13665,1.17468,2.43026,1.15314
BBA_02823,35.2793,38.6766,30.1747,67.6183,15.3654,16.5864,30.5687,36.8148,34.1497,29.4913,18.8074,12.536
BBA_02824,15.3465,19.395,15.4567,19.8754,7.72916,16.9287,9.34666,19.4732,18.608,15.2935,18.3928,14.8571
BBA_02825,0.291831,0,0.107637,0.252165,0.566945,0.468286,0.146698,0.280352,0.417441,0.233901,0.121949,0.117816
BBA_02826,60.5715,69.024,57.9503,69.9594,53.5178,54.9658,72.398,66.2515,73.2356,65.6089,51.218,52.18
BBA_02827,87.3339,72.1861,73.7251,80.9019,103.574,93.3368,67.4484,71.6807,73.6047,77.6821,79.6094,77.4329
BBA_02828,28.9311,26.8443,32.4974,23.3025,35.0225,35.4709,35.2174,35.3071,32.3077,38.9735,40.0128,43.2884
BBA_02829,45.3461,42.1823,47.1988,36.2899,50.0695,51.5312,55.6113,50.917,37.8475,40.9658,54.4357,54.2691
BBA_02830,47.1253,45.2197,45.0811,40.561,63.9217,64.6282,44.8304,46.6362,38.6473,34.8628,39.1307,62.0716
BBA_02831,3.54248,6.48665,6.42324,4.18658,6.62431,7.61625,5.41846,5.68601,8.60922,8.6053,9.62536,7.57736
BBA_02832,75.358,70.0956,86.0162,93.192,99.9206,95.2706,95.8579,83.595,82.933,97.933,91.3947,87.5787
BBA_02833,201.124,219.818,314.123,221.246,367.524,314.983,397.967,381.111,321.315,355.816,345.222,319.263
BBA_02834,62.1648,48.5924,66.0449,53.3792,113.217,87.3451,68.9252,61.1983,55.3004,70.1636,85.9621,98.6965
