"","gene","gene_ID_robin","cluster"
"114","BBA_03247","Beaba1|3247",3
"115","BBA_03303","Beaba1|3303",2
"116","BBA_03353","Beaba1|3353",1
"117","BBA_03366","Beaba1|3366",2
"118","BBA_03367","Beaba1|3367",3
"119","BBA_03491","Beaba1|3491",1
"120","BBA_03503","Beaba1|3503",2
"121","BBA_03545","Beaba1|3545",1
"122","BBA_03549","Beaba1|3549",3
"123","BBA_03578","Beaba1|3578",2
"124","BBA_03579","Beaba1|3579",1
"125","BBA_03678","Beaba1|3678",3
"126","BBA_03715","Beaba1|3715",3
"127","BBA_03716","Beaba1|3716",4
"128","BBA_03749","Beaba1|3749",4
"129","BBA_03767","Beaba1|3767",4
"130","BBA_03771","Beaba1|3771",3
"131","BBA_03782","Beaba1|3782",2
"132","BBA_03789","Beaba1|3789",4
"133","BBA_03825","Beaba1|3825",4
"134","BBA_03848","Beaba1|3848",2
"135","BBA_03862","Beaba1|3862",1
"136","BBA_03879","Beaba1|3879",2
"137","BBA_03896","Beaba1|3896",2
"138","BBA_03925","Beaba1|3925",1
"139","BBA_03947","Beaba1|3947",1
"140","BBA_03961","Beaba1|3961",1
"141","BBA_03976","Beaba1|3976",2
"142","BBA_03994","Beaba1|3994",4
"143","BBA_04062","Beaba1|4062",4
"144","BBA_04063","Beaba1|4063",1
"145","BBA_04118","Beaba1|4118",2
"146","BBA_04141","Beaba1|4141",1
