"gene_name","ZT04ld","ZT08ld","ZT12ld","ZT16ld","ZT20ld","ZT24ld","ZT28ld","ZT32ld","ZT36ld","ZT40ld","ZT44ld","ZT48ld"
"XA68_11347",295.496,263.132,331.504,116.553,275.006,320.119,248.446,259.646,225.793,250.58,246.385,197.096
"XA68_11348",13.2698,23.456,12.1116,12.5558,12.6166,12.3836,17.5953,16.1871,9.5156,26.8126,8.97071,14.9587
"XA68_11349",0,0,0,0,0.213667,0.928237,0.234743,0.133995,0,0,0,0.35273
"XA68_11350",0.187989,0.0207149,0.227774,0,0.136976,0.21972,0.136777,0.117318,0.035411,0,0.21872,0.212461
"XA68_11351",13.0177,18.4296,21.6382,6.82143,17.0292,28.6787,4.69772,16.0246,34.468,5.42664,9.27966,11.7095
"XA68_11352",0.73084,3.9794,14.2532,0.43272,12.766,96.4498,5.17233,1.58567,2.47692,3.04025,12.4188,8.23924
"XA68_11353",73.3989,42.5813,176.796,76.5168,137.559,524.812,16.6286,33.714,107.055,32.7834,107.068,118.831
"XA68_11354",0.530218,1.15439,1.06524,0.652178,0.933021,0.848312,0.813301,0.593083,0.773821,1.07636,1.09984,1.66415
"XA68_11355",138.117,179.617,144.439,111.044,157.24,174.202,133.512,171.687,145.69,199.141,146.627,152.337
"XA68_11356",431.281,472.385,404.548,435.623,384.279,364.941,521.211,504.344,409.162,611.605,356.449,404.372
"XA68_11357",79.0629,58.1618,89.0331,121.524,103.094,103.677,69.2853,72.2609,106.296,76.0848,142.211,101.879
"XA68_11358",11.3675,9.25059,10.6762,11.5074,9.66368,11.245,8.82243,10.067,11.3127,12.5476,9.12531,12.7817
"XA68_11359",1039.52,1344.02,1061.08,1368.08,938.101,685.571,1132.23,1348.82,943.929,1603.85,794.487,1090.23
"XA68_11360",32.2068,31.1338,33.2748,37.1196,28.2912,26.5147,31.6834,34.9707,32.0155,35.1724,28.306,28.7673
"XA68_11361",26.9013,33.7235,27.6227,44.9334,29.1773,25.8971,35.3759,36.3801,29.74,43.2421,24.0267,31.1676
"XA68_11362",30.4458,30.5048,30.7354,36.8136,30.377,31.6477,36.6621,32.8596,36.4797,38.7466,32.7183,36.545
"XA68_11363",887.102,865.406,1054.49,1593.47,1115.56,992.518,893.27,911.134,1036.73,920.68,1313.56,1072.98
"XA68_11364",345.521,388.745,360.383,107.524,343.963,374.967,378.435,375.295,265.197,378.47,312.964,320.554
"XA68_11365",4.70895,15.617,7.88098,1.10227,9.50127,2.18358,9.81027,24.785,8.12269,8.17659,6.65872,6.90996
"XA68_11366",78.7529,80.7329,54.3839,19.4265,68.0142,55.2894,74.2758,87.7996,50.2218,87.7061,61.1479,53.8903
"XA68_11367",13.4213,5.34724,11.0652,11.1604,11.1091,9.15498,13.0956,10.0473,13.6478,8.49993,12.4691,14.6855
"XA68_11368",188.21,244.407,180.869,198.922,170.684,111.854,236.132,245.829,197.453,241.303,172.158,201.174
"XA68_11369",10.4981,17.9569,13.2119,15.6154,10.9075,8.71617,20.8217,13.6639,11.0685,19.0725,9.37193,17.2649
"XA68_11370",42.6305,32.1465,62.6328,82.7646,65.2101,73.0018,45.3206,41.4725,52.3147,58.3097,80.2019,64.6903
"XA68_11371",33.0012,42.1208,45.6061,78.9963,42.8576,36.8734,48.2198,44.6753,44.2454,58.8116,64.2648,61.4825
"XA68_11372",2.45251,3.55203,1.74134,0.964919,1.93108,1.15856,2.93463,2.40711,1.68715,2.5213,1.39065,2.18677
"XA68_11373",0,2.79858,0.553236,0,2.66411,0.300221,1.58454,1.7396,0.805002,1.87626,0.402584,0.736599
"XA68_11374",1.14646,0.936508,0.942784,0,2.4429,1.78717,1.41748,0.309769,0,4.10665,0.876584,0.335141
"XA68_11375",2.28009,4.36375,2.1043,2.72184,2.82767,3.93635,1.33835,2.13506,0.471877,10.2372,1.27843,1.46869
"XA68_11376",3.99131,1.58671,1.3014,0,3.18305,0,0.667977,2.28297,1.34859,0,1.04342,1.96876
"XA68_11377",82.9046,100.759,74.6304,78.3907,73.1138,99.5282,90.1675,96.4696,61.3427,121.63,77.3442,82.3847
"XA68_11378",2.14317,6.75329,1.388,0,5.47307,2.62689,3.93211,4.5218,1.40635,4.70339,2.08408,2.3714
"XA68_11379",0,6.08041,1.52804,0,1.54889,19.3857,0,1.8915,3.34931,1.33222,8.01114,8.08418
"XA68_11380",152.181,152.665,157.275,72.6515,144.631,225.565,122.285,145.287,90.5521,140.469,135.016,119.317
"XA68_11381",38.3028,32.5332,32.2139,28.8146,33.1379,36.8239,34.4293,30.9683,28.0381,33.1481,29.3238,27.1123
"XA68_11382",18.4708,22.4933,25.4752,15.8223,21.6788,29.5739,21.4713,17.3307,18.3619,21.2316,35.4126,29.6408
