,ophio_cflo_ID,ophio_kim_ID,rhythmic_24h_ophio_cflo,rhythmic_24h_ophio_kim
447,Ophcf2|00497,Ophio5|4178,yes,no
448,Ophcf2|00498,Ophio5|4179,yes,yes
449,Ophcf2|00499,Ophio5|4181,no,no
450,Ophcf2|00500,Ophio5|4182,no,no
451,Ophcf2|00501,Ophio5|4183,no,no
452,Ophcf2|00502,Ophio5|4184,no,no
453,Ophcf2|00503,Ophio5|4185,yes,no
454,Ophcf2|00504,Ophio5|4186,no,no
455,Ophcf2|00505,Ophio5|4187,no,no
456,Ophcf2|00506,Ophio5|4190,NA,no
457,Ophcf2|00507,Ophio5|4193,yes,no
458,Ophcf2|00508,Ophio5|3733,yes,no
459,Ophcf2|00509,Ophio5|1220,no,no
460,Ophcf2|00510,Ophio5|1219,no,yes
461,Ophcf2|00511,Ophio5|1234,yes,no
462,Ophcf2|00512,Ophio5|1236,no,no
463,Ophcf2|00513,Ophio5|1237,no,no
464,Ophcf2|00514,Ophio5|1238,no,no
465,Ophcf2|00515,Ophio5|1239,no,no
466,Ophcf2|00518,Ophio5|1241,no,no
467,Ophcf2|00519,Ophio5|1242,no,no
468,Ophcf2|00520,Ophio5|1243,no,no
469,Ophcf2|00521,Ophio5|5590,no,no
470,Ophcf2|00522,Ophio5|5591,no,no
471,Ophcf2|00523,Ophio5|1244,no,no
472,Ophcf2|00524,Ophio5|8258,no,no
473,Ophcf2|00525,Ophio5|5588,yes,no
474,Ophcf2|00526,Ophio5|5587,no,no
475,Ophcf2|00527,Ophio5|7164,no,no
476,Ophcf2|00528,Ophio5|7165,yes,no
477,Ophcf2|00529,Ophio5|6986,yes,no
478,Ophcf2|00530,Ophio5|6987,no,no
479,Ophcf2|00532,Ophio5|4684,no,no
480,Ophcf2|00534,Ophio5|6991,yes,no
481,Ophcf2|00535,Ophio5|7640,no,no
482,Ophcf2|00537,Ophio5|4674,no,no
483,Ophcf2|00538,Ophio5|7641,no,no
484,Ophcf2|00539,Ophio5|7642,no,no
485,Ophcf2|00540,Ophio5|7643,no,no
486,Ophcf2|00541,Ophio5|7644,no,yes
487,Ophcf2|00542,Ophio5|7645,yes,yes
488,Ophcf2|00543,Ophio5|7647,no,no
489,Ophcf2|00544,Ophio5|7648,no,yes
490,Ophcf2|00545,Ophio5|7649,no,yes
491,Ophcf2|00546,Ophio5|4813,no,yes
492,Ophcf2|00547,Ophio5|4814,yes,no
493,Ophcf2|00548,Ophio5|4815,yes,no
494,Ophcf2|00549,Ophio5|4816,no,no
495,Ophcf2|00550,Ophio5|4817,no,yes
496,Ophcf2|00551,Ophio5|6320,yes,no
497,Ophcf2|00552,Ophio5|6319,no,no
498,Ophcf2|00553,Ophio5|6318,yes,no
499,Ophcf2|00554,Ophio5|6317,no,no
500,Ophcf2|00556,Ophio5|165,no,no
501,Ophcf2|00558,Ophio5|166,yes,no
502,Ophcf2|00559,Ophio5|167,no,no
503,Ophcf2|00560,Ophio5|168,no,no
504,Ophcf2|00561,Ophio5|1089,no,no
505,Ophcf2|00562,Ophio5|365,no,no
506,Ophcf2|00563,Ophio5|1213,yes,no
507,Ophcf2|00564,Ophio5|1214,no,no
508,Ophcf2|00565,Ophio5|1215,no,no
509,Ophcf2|00566,Ophio5|1216,no,no
510,Ophcf2|00567,Ophio5|1217,no,no
511,Ophcf2|00568,Ophio5|1218,no,no
512,Ophcf2|00569,Ophio5|4221,yes,no
513,Ophcf2|00572,Ophio5|4223,no,no
514,Ophcf2|00573,Ophio5|2051,no,no
515,Ophcf2|00574,Ophio5|7632,yes,no
516,Ophcf2|00575,Ophio5|7635,no,no
517,Ophcf2|00576,Ophio5|7636,yes,no
518,Ophcf2|00578,Ophio5|7637,yes,no
519,Ophcf2|00579,Ophio5|7638,no,no
520,Ophcf2|00580,Ophio5|7612,no,no
521,Ophcf2|00581,Ophio5|7611,yes,yes
522,Ophcf2|00582,Ophio5|7610,no,no
523,Ophcf2|00583,Ophio5|7707,yes,no
